08/06/2024,CAA INS CO GW    INS,429.36,,8362.44
08/12/2024,CIBC MC      L8L8R8 ,116.44,,8246.00
08/12/2024,SEND E-TFR ***8V3   ,250.00,,7996.00
08/15/2024,FDM GROUP        PAY,,1081.69,9077.69
08/15/2024,E-TFR ***VXK EPAY   ,,1500.00,10577.69
08/16/2024,CHQ#00005-4140955524,4200.00,,6377.69
08/21/2024,CIBC MC      W2L7J2 ,98.02,,6279.67
08/26/2024,E-TRANSFER ***tGE   ,,45.00,6324.67
08/26/2024,E-TRANSFER ***xWu   ,,20.00,6344.67
08/26/2024,E-TRANSFER ***YWD   ,,32.00,6376.67
08/26/2024,CIBC MC      JZ#002 ,50.00,,6326.67
08/28/2024,SGI CDA INS SVS  INS,33.13,,6293.54
08/30/2024,FDM GROUP        PAY,,952.86,7246.40
08/30/2024,MONTHLY ACCOUNT FEE ,10.95,,7235.45
08/30/2024,ACCT BAL REBATE     ,,10.95,7246.40
09/03/2024,E-TRANSFER ***YHc   ,,48.00,7294.40
09/03/2024,NSLSC            MSP,305.86,,6988.54
09/04/2024,CIBC MC      A2Q3Y3 ,140.00,,6848.54
09/06/2024,CAA INS CO GW    INS,214.68,,6633.86
09/13/2024,FDM GROUP        PAY,,926.18,7560.04
09/16/2024,E-TRANSFER ***jNr   ,,15.00,7575.04
09/16/2024,E-TRANSFER ***MFd   ,,15.00,7590.04
09/16/2024,E-TRANSFER ***dJJ   ,,15.00,7605.04
09/16/2024,E-TRANSFER ***Dav   ,,15.00,7620.04
09/16/2024,E-TRANSFER ***JnK   ,,10.00,7630.04
09/16/2024,E-TFR ***C8W EPAY   ,,1500.00,9130.04
09/19/2024,SEND E-TFR ***pxZ   ,2500.00,,6630.04
09/23/2024,CHQ#00006-4141423026,4200.00,,2430.04
09/26/2024,CIBC MC      JZ#003 ,50.00,,2380.04
09/27/2024,FDM GROUP        PAY,,996.30,3376.34
09/27/2024,MONTHLY ACCOUNT FEE ,10.95,,3365.39
10/01/2024,SGI CDA INS SVS  INS,33.13,,3332.26
10/01/2024,NSLSC            MSP,305.86,,3026.40
10/02/2024,E-TRANSFER ***Yxz   ,,2000.00,5026.40
10/04/2024,CIBC MC      X2L8Y7 ,500.00,,4526.40
10/07/2024,CAA INS CO GW    INS,214.68,,4311.72
10/10/2024,E-TRANSFER ***FXY   ,,2000.00,6311.72
10/15/2024,FDM GROUP        PAY,,1032.64,7344.36
10/15/2024,CDACARBONREBATE  CCR,,210.00,7554.36
10/15/2024,E-TFR ***fD9 EPAY   ,,1500.00,9054.36
